category,brand,product_name,discounted_price,original_price,image_url
fruits vegetables,Fresho,Lettuce - Iceberg,₹83.2,₹113.97,"https://www.bigbasket.com/media/uploads/p/m/30002887_5-fresho-lettuce-iceberg.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Lettuce Mix - Hydroponically Grown,₹55,₹75.34,"https://www.bigbasket.com/media/uploads/p/m/40211693_1-fresho-lettuce-mix-hydroponically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Muskmelon - Organically Grown (Loose),₹52,₹71.23,"https://www.bigbasket.com/media/uploads/p/m/50000534_12-fresho-muskmelon-organically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Musk Melon/Kharbuja - Local,₹45.26,₹62,"https://www.bigbasket.com/media/uploads/p/m/40073691_1-fresho-musk-melonkharbuja-local.jpg?tr=w-3840,q=80"
fruits vegetables,Farmogo,Green Oak Lettuce - Hydroponically Grown With Live Roots,₹64,₹87.67,"https://www.bigbasket.com/media/uploads/p/m/40198823_1-farmogo-green-oak-lettuce-hydroponically-grown-with-live-roots.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Lettuce - Concorde Red, Hydroponically Grown",₹62,₹84.93,"https://www.bigbasket.com/media/uploads/p/m/40211676_1-fresho-lettuce-concorde-red-hydroponically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Lettuce Mix,₹72,₹98.63,"https://www.bigbasket.com/media/uploads/p/m/40020131_3-fresho-lettuce-mix.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Tender Jackfruit,₹41,₹56.16,"https://www.bigbasket.com/media/uploads/p/m/40067703_1-fresho-tender-jackfruit.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Watermelon - Diced,₹16,₹21.92,"https://www.bigbasket.com/media/uploads/p/m/40005852_6-fresho-watermelon-diced.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Lettuce - Star Fighter Green, Hydroponically Grown",₹61,₹83.56,"https://www.bigbasket.com/media/uploads/p/m/40211675_1-fresho-lettuce-star-fighter-green-hydroponically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Muskmelon - Striped, Kajari",₹41,₹56.16,"https://www.bigbasket.com/media/uploads/p/m/40127434_1-fresho-muskmelon-striped-kajari.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Lettuce Mix - Hydroponically Grown, Crisp, Fresh, Pesticides-Free",₹64,₹87.67,"https://www.bigbasket.com/media/uploads/p/m/40255802_1-fresho-lettuce-mix-hydroponically-grown-crisp-fresh-pesticides-free.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Watermelon - Seedless,₹122,₹167.12,"https://www.bigbasket.com/media/uploads/p/m/40020966_1-fresho-watermelon-seedless.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Organic Sprouts Mixed Gram,₹55,₹75.34,"https://www.bigbasket.com/media/uploads/p/m/40158434_4-fresho-organic-sprouts-mixed-gram.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Broccoli,₹67,₹94.52,"https://www.bigbasket.com/media/uploads/p/m/10000062_22-fresho-broccoli.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Musk Melon Bulk,₹55,₹75.34,"https://www.bigbasket.com/media/uploads/p/m/40120324_3-fresho-musk-melon-bulk.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Summer Crisp Lettuce - Hydroponically Grown With Live Roots,₹57,₹78.08,"https://www.bigbasket.com/media/uploads/p/m/40216648_1-fresho-summer-crisp-lettuce-hydroponically-grown-with-live-roots.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Lettuce - Red,₹43,₹58.9,"https://www.bigbasket.com/media/uploads/p/m/20000989_9-fresho-lettuce-red.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Watermelon Juice - Cold Pressed,,₹28.77,"https://www.bigbasket.com/media/uploads/p/m/40215111_1-fresho-fresh-watermelon-juice.jpg?tr=w-3840,q=80"
